"Demographic component"	"Canton"	"Citizenship (category)"	"Sex"	"Age"	"2019"
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"70 years"	384
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"71 years"	397
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"72 years"	361
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"73 years"	356
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"74 years"	385
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"75 years"	349
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"76 years"	336
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"77 years"	324
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"78 years"	264
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"79 years"	262
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"80 years"	218
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"81 years"	237
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"82 years"	200
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"83 years"	165
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"84 years"	185
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"85 years"	149
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"86 years"	144
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"87 years"	146
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"88 years"	101
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"89 years"	118
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"90 years"	84
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"91 years"	65
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"92 years"	51
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"93 years"	49
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"94 years"	35
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"95 years"	28
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"96 years"	21
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"97 years"	15
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"98 years"	10
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"99 years or older"	10
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Sex - Total"	"No indication"	0
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"Age - Total"	18739
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"0 years"	173
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"1 year"	181
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"2 years"	199
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"3 years"	174
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"4 years"	169
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"5 years"	168
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"6 years"	183
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"7 years"	202
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"8 years"	180
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"9 years"	201
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"10 years"	199
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"11 years"	190
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"12 years"	180
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"13 years"	204
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"14 years"	195
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"15 years"	196
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"16 years"	200
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"17 years"	205
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"18 years"	218
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"19 years"	225
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"20 years"	207
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"21 years"	236
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"22 years"	244
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"23 years"	212
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"24 years"	235
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"25 years"	238
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"26 years"	227
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"27 years"	244
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"28 years"	223
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"29 years"	260
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"30 years"	244
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"31 years"	222
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"32 years"	232
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"33 years"	265
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"34 years"	212
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"35 years"	249
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"36 years"	217
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"37 years"	230
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"38 years"	224
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"39 years"	225
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"40 years"	237
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"41 years"	224
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"42 years"	232
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"43 years"	238
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"44 years"	236
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"45 years"	248
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"46 years"	271
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"47 years"	251
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"48 years"	245
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"49 years"	257
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"50 years"	290
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"51 years"	278
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"52 years"	287
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"53 years"	298
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"54 years"	291
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"55 years"	316
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"56 years"	291
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"57 years"	269
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"58 years"	274
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"59 years"	274
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"60 years"	269
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"61 years"	270
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"62 years"	244
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"63 years"	262
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"64 years"	224
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"65 years"	255
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"66 years"	240
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"67 years"	244
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"68 years"	195
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"69 years"	217
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"70 years"	202
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"71 years"	216
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"72 years"	169
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"73 years"	182
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"74 years"	175
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"75 years"	183
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"76 years"	151
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"77 years"	162
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"78 years"	121
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"79 years"	119
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"80 years"	102
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"81 years"	104
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"82 years"	90
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"83 years"	73
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"84 years"	80
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"85 years"	63
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"86 years"	56
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"87 years"	54
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"88 years"	45
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"89 years"	43
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"90 years"	32
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"91 years"	27
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"92 years"	24
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"93 years"	16
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"94 years"	11
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"95 years"	10
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"96 years"	3
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"97 years"	6
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"98 years"	3
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"99 years or older"	2
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Man"	"No indication"	0
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"Age - Total"	17964
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"0 years"	174
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"1 year"	178
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"2 years"	175
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"3 years"	178
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"4 years"	175
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"5 years"	175
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"6 years"	160
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"7 years"	177
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"8 years"	160
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"9 years"	181
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"10 years"	175
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"11 years"	159
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"12 years"	172
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"13 years"	176
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"14 years"	167
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"15 years"	192
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"16 years"	180
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"17 years"	206
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"18 years"	161
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"19 years"	194
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"20 years"	187
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"21 years"	199
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"22 years"	205
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"23 years"	231
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"24 years"	198
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"25 years"	224
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"26 years"	226
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"27 years"	213
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"28 years"	235
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"29 years"	214
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"30 years"	210
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"31 years"	217
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"32 years"	229
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"33 years"	232
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"34 years"	227
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"35 years"	232
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"36 years"	195
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"37 years"	211
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"38 years"	191
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"39 years"	226
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"40 years"	214
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"41 years"	225
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"42 years"	223
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"43 years"	224
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"44 years"	205
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"45 years"	258
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"46 years"	225
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"47 years"	251
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"48 years"	248
"Population on 31 December"	"Uri"	"Citizenship (category) - Total"	"Woman"	"49 years"	263
